epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5681,1.78701,5.63192,1.92368,0.10794,0.43174,0.14925,0.02966,1.64234,8.17374,1.70083,1.25e-05,1.25e-05,1.25e-05
2,23.395,2.00323,6.21354,2.07348,0.11017,0.44068,0.15056,0.03346,1.67776,8.05867,1.72315,3.68813e-05,3.68813e-05,3.68813e-05
3,24.1331,1.81758,5.46125,1.95158,0.10145,0.40581,0.1318,0.02977,1.65715,6.37854,1.64433,6.04375e-05,6.04375e-05,6.04375e-05
4,24.9729,2.00646,5.18668,2.13049,0.11823,0.7691,0.14925,0.0324,2.14855,5.12728,2.28384,8.31687e-05,8.31687e-05,8.31687e-05
5,26.0881,1.90906,5.06235,1.97465,0.97017,0.5,0.52119,0.10994,1.90453,4.34316,1.84275,0.000105075,0.000105075,0.000105075
6,27.3492,1.76904,6.2758,1.93279,0.59333,1,0.995,0.42344,1.56704,3.19736,1.41492,0.000126156,0.000126156,0.000126156
7,28.3637,1.42409,3.61553,1.74887,0.39446,1,0.995,0.62187,1.1411,4.53472,1.31182,0.000146413,0.000146413,0.000146413
8,29.3455,1.59545,3.03054,1.59579,0.7793,0.5,0.597,0.18739,1.04833,4.68455,1.19823,0.000165844,0.000165844,0.000165844
9,30.1544,0.9279,2.177,1.21453,0.44171,0.5,0.66333,0.2189,1.0818,4.00939,1.34192,0.00018445,0.00018445,0.00018445
10,30.9554,1.208,3.28811,1.39368,0.4839,1,0.995,0.53067,1.2224,3.91866,1.43904,0.000202231,0.000202231,0.000202231
11,31.8073,1.06543,3.20822,1.5024,0.96919,0.5,0.995,0.6558,1.23807,4.01519,1.37555,0.000219188,0.000219188,0.000219188
12,32.7564,0.99803,1.97587,1.19018,0.89921,1,0.995,0.74625,0.87183,2.97128,1.08861,0.000235319,0.000235319,0.000235319
13,33.7467,0.58004,1.4576,1.08337,0.50029,1,0.74625,0.597,0.84001,2.38101,0.99375,0.000250625,0.000250625,0.000250625
14,34.5347,0.99196,1.52263,1.15467,0.64999,1,0.74625,0.597,0.86452,2.15818,1.07286,0.000265106,0.000265106,0.000265106
15,35.3518,0.78399,1.64407,1.11879,0.87218,1,0.995,0.796,0.89654,1.30755,1.1259,0.000278762,0.000278762,0.000278762
16,36.2381,0.87935,1.52691,1.18528,0.75907,1,0.995,0.74625,0.94933,1.51855,1.15612,0.000291594,0.000291594,0.000291594
17,37.0754,1.04756,1.94902,1.33058,0.9501,1,0.995,0.796,0.67783,1.08019,0.99051,0.0003036,0.0003036,0.0003036
18,38.6127,0.77898,1.212,1.13625,0.75637,1,0.995,0.6965,0.83091,1.90215,1.08596,0.000314781,0.000314781,0.000314781
19,39.7981,0.77113,1.17658,1.11643,0.91267,0.5,0.995,0.8955,0.69534,2.57167,0.93043,0.000325137,0.000325137,0.000325137
20,40.7943,1.51728,1.66992,1.70112,0.55428,1,0.995,0.796,0.66655,2.0396,0.82554,0.000334669,0.000334669,0.000334669
21,41.611,0.82425,1.13174,1.10219,0.67994,1,0.995,0.84575,0.72217,1.79084,0.83136,0.000343375,0.000343375,0.000343375
22,42.3739,1.03891,1.61049,1.2677,0.66629,1,0.995,0.84575,0.60049,1.79806,0.79237,0.000351256,0.000351256,0.000351256
23,43.1576,0.85355,1.09934,1.06895,0.53725,1,0.995,0.796,0.72649,2.4038,0.89066,0.000358313,0.000358313,0.000358313
24,44.2918,0.97453,1.18083,1.10528,0.74603,0.5,0.995,0.84575,0.69724,3.58776,0.94583,0.000364544,0.000364544,0.000364544
25,45.0563,0.97573,1.17897,1.07823,0.66393,0.5,0.74625,0.64675,0.85782,3.91247,1.05722,0.00036995,0.00036995,0.00036995
26,45.8515,0.96099,1.50138,1.27035,0.5117,1,0.74625,0.4975,1.41853,3.40463,1.51175,0.000374531,0.000374531,0.000374531
